StateName	ConstituencyName	LeadingCandidate	LeadingParty	TrailingCandidate	TrailingParty	Margin	LeadingParty2014
Karnataka	Hassan	Prajwal Revanna	Janata Dal  (Secular)	Manju A	Bharatiya Janata Party	141324	Janata Dal  (Secular)
Karnataka	Haveri	Udasi. S.c.	Bharatiya Janata Party	D.r. Patil	Indian National Congress	140882	Bharatiya Janata Party
Karnataka	Kolar	S. Muniswamy	Bharatiya Janata Party	K.h. Muniyappa	Indian National Congress	210021	Indian National Congress
Karnataka	Koppal	Karadi Sanganna Amarappa	Bharatiya Janata Party	K.rajashekar Basavaraj Hitnal	Indian National Congress	38397	Bharatiya Janata Party
Karnataka	Mandya	Sumalatha Ambareesh	Independent	Nikhil Kumaraswamy	Janata Dal  (Secular)	125876	Janata Dal  (Secular)
Karnataka	Mysore	Prathap Simha	Bharatiya Janata Party	C.h.vijayashankar	Indian National Congress	138647	Bharatiya Janata Party
Karnataka	Raichur	Raja Amareshwara Naik	Bharatiya Janata Party	B. V Naik	Indian National Congress	117716	Indian National Congress
Karnataka	Shimoga	B.y.raghavendra.	Bharatiya Janata Party	S.madhubangarappa	Janata Dal  (Secular)	223360	Bharatiya Janata Party
Karnataka	Tumkur	G. S. Basavaraj	Bharatiya Janata Party	H. D. Devegowda	Janata Dal  (Secular)	13339	Indian National Congress
Karnataka	Udupi Chikmagalur	Shobha Karandlaje	Bharatiya Janata Party	Pramod Madhwaraj	Janata Dal  (Secular)	349599	Bharatiya Janata Party
Karnataka	Uttara Kannada	Anantkumar Hegde	Bharatiya Janata Party	Anand Asnotikar	Janata Dal  (Secular)	479649	Bharatiya Janata Party
Kerala	Alappuzha	Adv. A M Ariff	Communist Party of India  (Marxist)	Adv. Shanimol Osman	Indian National Congress	10474	Indian National Congress
Kerala	Alathur	Ramya Haridas	Indian National Congress	Dr. P.k.biju	Communist Party of India  (Marxist)	158968	Communist Party of India  (Marxist)
Kerala	Attingal	Adv. Adoor Prakash	Indian National Congress	Dr. A. Sampath	Communist Party of India  (Marxist)	38247	Communist Party of India  (Marxist)
Kerala	Chalakudy	Benny Behanan	Indian National Congress	Innocent	Communist Party of India  (Marxist)	132274	Independent
Kerala	Ernakulam	Hibi Eden	Indian National Congress	P Rajeev	Communist Party of India  (Marxist)	169153	Indian National Congress
Kerala	Idukki	Adv. Dean Kuriakose	Indian National Congress	Adv, Joice George	Independent	171053	Independent
Kerala	Kannur	K. Sudhakaran	Indian National Congress	P. K. Sreemathi Teacher	Communist Party of India  (Marxist)	94559	Communist Party of India  (Marxist)
Kerala	Kasaragod	Rajmohan Unnithan	Indian National Congress	K. P. Sathishchandran	Communist Party of India  (Marxist)	40438	Communist Party of India  (Marxist)
Kerala	Kollam	N.k.premachandran	Revolutionary Socialist Party	K.n.balagopal	Communist Party of India  (Marxist)	148856	Revolutionary Socialist Party
Kerala	Kottayam	Thomas Chazhikadan	Kerala Congress  (M)	V.n. Vasavan	Communist Party of India  (Marxist)	106259	Kerala Congress  (M)
Kerala	Kozhikode	M.k.raghavan	Indian National Congress	A.pradeep Kumar	Communist Party of India  (Marxist)	85225	Indian National Congress
Kerala	Malappuram	P.k. Kunhalikutty	Indian Union Muslim League	V.p. Sanu	Communist Party of India  (Marxist)	260153	Indian Union Muslim League
Kerala	Mavelikkara	Kodikunnil Suresh	Indian National Congress	Chittayam Gopakumar	Communist Party of India	61138	Indian National Congress
Kerala	Palakkad	V K Sreekandan	Indian National Congress	M B Rajesh	Communist Party of India  (Marxist)	11637	Communist Party of India  (Marxist)
Kerala	Pathanamthitta	Anto Antony	Indian National Congress	Veena George	Communist Party of India  (Marxist)	44243	Indian National Congress
Kerala	Ponnani	E. T. Mohammed Basheer	Indian Union Muslim League	P.v. Anvar Puthan Veetil	Independent	193273	Indian Union Muslim League
Kerala	Thiruvananthapuram	Dr. Shashi Tharoor	Indian National Congress	Kummanam Rajasekharan	Bharatiya Janata Party	99989	Indian National Congress
Kerala	Thrissur	T. N. Prathapan	Indian National Congress	Rajaji Mathew Thomas	Communist Party of India	93633	Communist Party of India
Kerala	Vadakara	K. Muraleedharan	Indian National Congress	P.jayarajan	Communist Party of India  (Marxist)	84663	Indian National Congress
Kerala	Wayanad	Rahul Gandhi	Indian National Congress	P.p. Suneer	Communist Party of India	431770	Indian National Congress
Lakshadweep	Lakshadweep	Mohammed Faizal Pp	Nationalist Congress Party	Hamdullah Sayeed	Indian National Congress	823	Nationalist Congress Party
Madhya Pradesh	Balaghat	Dr Dhal Singh Bisen	Bharatiya Janata Party	Madhu Bhagat	Indian National Congress	242066	Bharatiya Janata Party
Madhya Pradesh	Betul	Durga Das (d.d.) Uikey	Bharatiya Janata Party	Ramu Tekam (advocate)	Indian National Congress	360241	Bharatiya Janata Party
Madhya Pradesh	Bhind	Sandhya Ray	Bharatiya Janata Party	Devashish	Indian National Congress	199885	Bharatiya Janata Party
Madhya Pradesh	Bhopal	Sadhvi Pragya Singh Thakur	Bharatiya Janata Party	Digvijaya Singh	Indian National Congress	364822	Bharatiya Janata Party
Madhya Pradesh	Chhindwara	Nakul Kamal Nath	Indian National Congress	Nathansaha Kawreti	Bharatiya Janata Party	37536	Indian National Congress
Madhya Pradesh	Damoh	Prahalad Singh Patel	Bharatiya Janata Party	Pratap Singh	Indian National Congress	353411	Bharatiya Janata Party
Madhya Pradesh	Dewas	Mahendra Singh Solanky	Bharatiya Janata Party	Prahlad Singh Tipanya	Indian National Congress	372249	Bharatiya Janata Party
Madhya Pradesh	Dhar	Chattarsingh Darbar	Bharatiya Janata Party	Girwal Dinesh	Indian National Congress	156029	Bharatiya Janata Party
Madhya Pradesh	Guna	Krishna Pal Singh "dr. K. P. Yadav"	Bharatiya Janata Party	Jyotiraditya M. Scindia	Indian National Congress	125549	Indian National Congress
Madhya Pradesh	Gwalior	Vivek Narayan Shejwalkar	Bharatiya Janata Party	Ashok Singh	Indian National Congress	146842	Bharatiya Janata Party
Madhya Pradesh	Hoshangabad	Uday Pratap Singh	Bharatiya Janata Party	Shailendra Diwan Chandarbhan Singh	Indian National Congress	553682	Bharatiya Janata Party
Madhya Pradesh	Indore	Shankar Lalwani	Bharatiya Janata Party	Pankaj Sanghvi	Indian National Congress	547754	Bharatiya Janata Party
Madhya Pradesh	Jabalpur	Rakesh Singh	Bharatiya Janata Party	Pt. Vivek Krishna Tankha	Indian National Congress	454744	Bharatiya Janata Party
Madhya Pradesh	Khajuraho	V.d. Sharma (vishnu Datt Sharma)	Bharatiya Janata Party	Maharani Kavita Singh Natiraja	Indian National Congress	492382	Bharatiya Janata Party
Madhya Pradesh	Khandwa	Nandkumar Singh Chouhan (nandu Bhaiya)	Bharatiya Janata Party	Arun Subhash Chandra Yadav	Indian National Congress	273343	Bharatiya Janata Party
Madhya Pradesh	Khargone	Gajendra Umrao Singh Patel	Bharatiya Janata Party	Dr. Govind Subhan Mujalda	Indian National Congress	202510	Bharatiya Janata Party
Madhya Pradesh	Mandla	Faggan Singh Kulaste	Bharatiya Janata Party	Kamal Singh Maravi	Indian National Congress	97674	Bharatiya Janata Party
Madhya Pradesh	Mandsour	Sudheer Gupta	Bharatiya Janata Party	Meenakshi Natarajan	Indian National Congress	376734	Bharatiya Janata Party
Madhya Pradesh	Morena	Narendra Singh Tomar	Bharatiya Janata Party	Ramniwas Rawat	Indian National Congress	113341	Bharatiya Janata Party
Madhya Pradesh	Rajgarh	Rodmal Nagar	Bharatiya Janata Party	Mona Sustani	Indian National Congress	431019	Bharatiya Janata Party
Madhya Pradesh	Ratlam	Guman Singh Damor	Bharatiya Janata Party	Kantilal Bhuria	Indian National Congress	90636	Bharatiya Janata Party
Madhya Pradesh	Rewa	Janardan Mishra	Bharatiya Janata Party	Siddharth Tiwari "raj"	Indian National Congress	312807	Bharatiya Janata Party
Madhya Pradesh	Sagar	Rajbahadur Singh	Bharatiya Janata Party	Prabhu Singh Thakur	Indian National Congress	305542	Bharatiya Janata Party
Madhya Pradesh	Satna	Ganesh Singh	Bharatiya Janata Party	Rajaram Tripathi	Indian National Congress	231473	Bharatiya Janata Party
Madhya Pradesh	Shahdol	Himadri Singh	Bharatiya Janata Party	Pramila Singh	Indian National Congress	403333	Bharatiya Janata Party
Madhya Pradesh	Sidhi	Riti Pathak	Bharatiya Janata Party	Ajay Arjun Singh	Indian National Congress	286524	Bharatiya Janata Party
Madhya Pradesh	Tikamgarh	Dr Virendra Kumar	Bharatiya Janata Party	Ahirwar Kiran	Indian National Congress	348059	Bharatiya Janata Party
Madhya Pradesh	Ujjain	Anil Firojiya	Bharatiya Janata Party	Babulal Malviya	Indian National Congress	365637	Bharatiya Janata Party
Madhya Pradesh	Vidisha	Ramakant Bhargava	Bharatiya Janata Party	Shailendra Rameshchandra Patel	Indian National Congress	503084	Bharatiya Janata Party
Maharashtra	Ahmadnagar	Dr. Sujay Radhakrishna Vikhepatil	Bharatiya Janata Party	Sangram Arunkaka Jagtap	Nationalist Congress Party	281474	Bharatiya Janata Party
Maharashtra	Akola	Dhotre Sanjay Shamrao	Bharatiya Janata Party	Ambedkar (adv) Prakash Yashwant	Vanchit Bahujan Aaghadi	275596	Bharatiya Janata Party
Maharashtra	Amravati	Navnit Ravi Rana	Independent	Adsul Anandrao Vithoba	Shivsena	36951	Shivsena
Maharashtra	Aurangabad	Imtiaz Jaleel Syed	All India Majlis-E-Ittehadul Muslimeen	Chandrakant Khaire	Shivsena	4492	Shivsena
Maharashtra	Baramati	Supriya Sule	Nationalist Congress Party	Kanchan Rahul Kool	Bharatiya Janata Party	155774	Nationalist Congress Party
Maharashtra	Beed	Pritam Gopinathrao Munde	Bharatiya Janata Party	Bajrang Manohar Sonwane	Nationalist Congress Party	168368	Bharatiya Janata Party
Maharashtra	Bhandara - Gondiya	Sunil Baburao Mendhe	Bharatiya Janata Party	Panchabudhe Nana Jairam	Nationalist Congress Party	197394	Bharatiya Janata Party
Maharashtra	Bhiwandi	Kapil Moreshwar Patil	Bharatiya Janata Party	Taware Suresh Kashinath	Indian National Congress	156329	Bharatiya Janata Party
Maharashtra	Buldhana	Jadhav Prataprao Ganpatrao	Shivsena	Dr. Rajendra Bhaskarrav Shingne	Nationalist Congress Party	133287	Shivsena
Maharashtra	Chandrapur	Balubhau Alias Suresh Narayan Dhanorkar	Indian National Congress	Ahir Hansraj Gangaram	Bharatiya Janata Party	44763	Bharatiya Janata Party
Maharashtra	Dhule	Bhamre Subhash Ramrao	Bharatiya Janata Party	Kunalbaba Rohidas Patil	Indian National Congress	229243	Bharatiya Janata Party
Maharashtra	Dindori	Dr. Bharati Pravin Pawar	Bharatiya Janata Party	Dhanraj Haribhau Mahale	Nationalist Congress Party	198779	Bharatiya Janata Party
Maharashtra	Gadchiroli-chimur	Ashok Mahadeorao Nete	Bharatiya Janata Party	Dr. Namdeo Dalluji Usendi	Indian National Congress	77526	Bharatiya Janata Party
Maharashtra	Hatkanangle	Dhairyasheel Sambhajirao Mane	Shivsena	Raju Anna Shetti	Swabhimani Paksha	96039	Swabhimani Paksha
Maharashtra	Hingoli	Hemant Patil	Shivsena	Wankhede Subhashrao Bapurao	Indian National Congress	277856	Indian National Congress
Maharashtra	Jalgaon	Unmesh Bhaiyyasaheb Patil	Bharatiya Janata Party	Gulabrao Baburao Deokar	Nationalist Congress Party	411617	Bharatiya Janata Party
Maharashtra	Jalna	Danve Raosaheb Dadarao	Bharatiya Janata Party	Autade Vilas Keshavrao	Indian National Congress	332815	Bharatiya Janata Party
Maharashtra	Kalyan	Dr. Shrikant Eknath Shinde	Shivsena	Babaji Balaram Patil	Nationalist Congress Party	344343	Shivsena
Maharashtra	Kolhapur	Sanjay Sadashivrao Mandlik	Shivsena	Dhananjay Mahadik	Nationalist Congress Party	270568	Nationalist Congress Party
Maharashtra	Latur	Sudhakar Tukaram Shrangare	Bharatiya Janata Party	Kamant Machhindra Gunwantrao	Indian National Congress	289111	Bharatiya Janata Party
Maharashtra	Madha	Ranjeetsinha Hindurao Naik- Nimbalkar	Bharatiya Janata Party	Sanjaymama Vitthalrao Shinde	Nationalist Congress Party	85764	Nationalist Congress Party
Maharashtra	Maval	Shrirang Appa Chandu Barne	Shivsena	Parth Ajit Pawar	Nationalist Congress Party	215913	Shivsena
Maharashtra	Mumbai   South	Arvind Ganpat Sawant	Shivsena	Deora Milind Murli	Indian National Congress	100067	Shivsena
Maharashtra	Mumbai North	Gopal Shetty	Bharatiya Janata Party	Urmila Matondkar	Indian National Congress	465247	Bharatiya Janata Party
Maharashtra	Mumbai North Central	Poonam Mahajan	Bharatiya Janata Party	Dutt Priya Sunil	Indian National Congress	130005	Bharatiya Janata Party
Maharashtra	Mumbai North East	Manoj Kotak	Bharatiya Janata Party	Patil Sanjay Dina	Nationalist Congress Party	226486	Bharatiya Janata Party
Maharashtra	Mumbai North West	Gajanan Kirtikar	Shivsena	Sanjay Nirupam	Indian National Congress	260328	Shivsena
Maharashtra	Mumbai South Central	Rahul Ramesh Shewale	Shivsena	Eknath M. Gaikwad	Indian National Congress	152139	Shivsena
Maharashtra	Nagpur	Nitin Jairam Gadkari	Bharatiya Janata Party	Nana Patole	Indian National Congress	216009	Bharatiya Janata Party
Maharashtra	Nanded	Prataprao Patil Chikhalikar	Bharatiya Janata Party	Ashok Shankarrao Chavan	Indian National Congress	40148	Indian National Congress
Maharashtra	Nandurbar	Dr. Heena Vijaykumar Gavit	Bharatiya Janata Party	Adv. K. C. Padavi	Indian National Congress	95629	Bharatiya Janata Party
Maharashtra	Nashik	Godse Hemant Tukaram	Shivsena	Sameer Magan Bhujbal	Nationalist Congress Party	292204	Shivsena
Maharashtra	Osmanabad	Omprakash Bhupalsinh Alias Pawan Rajenimbalkar	Shivsena	Ranajagjitsinha Padmasinha Patil	Nationalist Congress Party	127566	Shivsena
Maharashtra	Palghar	Rajendra Dhedya Gavit	Shivsena	Baliram Sukur Jadhav	Bahujan Vikas Aaghadi	88883	Bharatiya Janata Party
Maharashtra	Parbhani	Jadhav Sanjay (bandu) Haribhau	Shivsena	Rajesh Uttamrao Vitekar	Nationalist Congress Party	42199	Shivsena
Maharashtra	Pune	Girish Bhalchandra Bapat	Bharatiya Janata Party	Mohan Joshi	Indian National Congress	324628	Bharatiya Janata Party
Maharashtra	Raigad	Tatkare Sunil Dattatray	Nationalist Congress Party	Anant Geete	Shivsena	31438	Shivsena
Maharashtra	Ramtek	Krupal Balaji Tumane	Shivsena	Kishore Uttamrao Gajbhiye	Indian National Congress	126783	Shivsena
Maharashtra	Ratnagiri - Sindhudurg	Vinayak Raut	Shivsena	Nilesh Narayan Rane	Maharashtra Swabhimaan Paksh,	178322	Shivsena
Maharashtra	Raver	Khadse Raksha Nikhil	Bharatiya Janata Party	Dr.ulhas Vasudeo Patil	Indian National Congress	335882	Bharatiya Janata Party
Maharashtra	Sangli	Sanjaykaka Patil	Bharatiya Janata Party	Vishal Prakashbapu Patil	Swabhimani Paksha	164352	Bharatiya Janata Party
Maharashtra	Satara	Shrimant Chh. Udayanraje Pratapsinhmaharaj Bhonsle	Nationalist Congress Party	Narendra Annasaheb Patil	Shivsena	126528	Nationalist Congress Party
Maharashtra	Shirdi	Sadashiv Kisan Lokhande	Shivsena	Kamble Bhausaheb Malhari	Indian National Congress	120195	Shivsena
Maharashtra	Shirur	Dr. Amol Ramsing Kolhe	Nationalist Congress Party	Adhalrao Shivaji Dattatrey	Shivsena	58483	Shivsena
Maharashtra	Solapur	Shri. Sha. Bra. Dr. Jai Sidheshwar Shivachary Mahaswamiji	Bharatiya Janata Party	Shinde Sushilkumar Sambhajirao	Indian National Congress	158608	Bharatiya Janata Party
Maharashtra	Thane	Rajan Baburao Vichare	Shivsena	Anand Prakash Paranjpe	Nationalist Congress Party	412145	Shivsena
Maharashtra	Wardha	Ramdas Chandrabhanji Tadas	Bharatiya Janata Party	Charulata Rao Tokas	Indian National Congress	187191	Bharatiya Janata Party
Maharashtra	Yavatmal-washim	Bhavana Pundlikrao Gawali	Shivsena	Thakre Manikrao Govindrao	Indian National Congress	117939	Shivsena
Manipur	Inner Manipur	Dr Rajkumar Ranjan Singh	Bharatiya Janata Party	Oinam Nabakishore Singh	Indian National Congress	17755	Indian National Congress
Manipur	Outer Manipur	Lorho S. Pfoze	Naga Peoples Front	Houlim Shokhopao Mate	Bharatiya Janata Party	73782	Indian National Congress
Meghalaya	Shillong	Vincent H. Pala	Indian National Congress	Jemino Mawthoh	United Democratic Party	152433	Indian National Congress
Meghalaya	Tura	Agatha K. Sangma	National People's Party	Dr. Mukul Sangma	Indian National Congress	64030	National Peoples Party
Mizoram	Mizoram	C Lalrosanga	Mizo National Front	Lalnghinglova Hmar	Independent	8140	Indian National Congress
Nagaland	Nagaland	Tokheho Yepthomi	Nationalist Democratic Progressive Party	K L Chishi	Indian National Congress	16344	Naga Peoples Front
NCT OF Delhi	Chandni Chowk	Harsh Vardhan	Bharatiya Janata Party	Jai Prakash Agarwal	Indian National Congress	228145	Bharatiya Janata Party
NCT OF Delhi	East Delhi	Gautam Gambhir	Bharatiya Janata Party	Arvinder Singh Lovely	Indian National Congress	391222	Bharatiya Janata Party
NCT OF Delhi	New Delhi	Meenakashi Lekhi	Bharatiya Janata Party	Ajay Makan	Indian National Congress	256504	Bharatiya Janata Party
NCT OF Delhi	North East Delhi	Manoj Tiwari	Bharatiya Janata Party	Sheila Dikshit	Indian National Congress	366102	Bharatiya Janata Party
NCT OF Delhi	North West Delhi	Hans Raj Hans	Bharatiya Janata Party	Gugan Singh	Aam Aadmi Party	553897	Bharatiya Janata Party
NCT OF Delhi	South Delhi	Ramesh Bidhuri	Bharatiya Janata Party	Raghav Chadha	Aam Aadmi Party	367043	Bharatiya Janata Party
NCT OF Delhi	West Delhi	Parvesh Sahib Singh Verma	Bharatiya Janata Party	Mahabal Mishra	Indian National Congress	578486	Bharatiya Janata Party
Odisha	Aska	Pramila Bisoyi	Biju Janata Dal	Anita Subhadarshini	Bharatiya Janata Party	204707	Biju Janata Dal
Odisha	Balasore	Pratap Chandra Sarangi	Bharatiya Janata Party	Rabindra Kumar Jena	Biju Janata Dal	12956	Biju Janata Dal
Odisha	Bargarh	Suresh Pujari	Bharatiya Janata Party	Prasanna Acharya	Biju Janata Dal	63939	Biju Janata Dal
Odisha	Berhampur	Chandra Sekhar Sahu	Biju Janata Dal	Bhrugu Baxipatra	Bharatiya Janata Party	94844	Biju Janata Dal
Odisha	Bhadrak	Manjulata Mandal	Biju Janata Dal	Avimanyu Sethi	Bharatiya Janata Party	28803	Biju Janata Dal
Odisha	Bhubaneswar	Aparajita Sarangi	Bharatiya Janata Party	Arup Mohan Patnaik	Biju Janata Dal	23839	Biju Janata Dal
Odisha	Bolangir	Sangeeta Kumari Singh Deo	Bharatiya Janata Party	Kalikesh Narayan Singh Deo	Biju Janata Dal	19516	Biju Janata Dal
Odisha	Cuttack	Bhartruhari Mahtab	Biju Janata Dal	Prakash Mishra	Bharatiya Janata Party	121201	Biju Janata Dal
Odisha	Dhenkanal	Mahesh Sahoo	Biju Janata Dal	Rudra Narayan Pany	Bharatiya Janata Party	35412	Biju Janata Dal
Odisha	Jagatsinghpur	Rajashree Mallick	Biju Janata Dal	Bibhu Prasad Tarai	Bharatiya Janata Party	271655	Biju Janata Dal
Odisha	Jajpur	Sarmistha Sethi	Biju Janata Dal	Amiya Kanta Mallick	Bharatiya Janata Party	101693	Biju Janata Dal
Odisha	Kalahandi	Basanta Kumar Panda	Bharatiya Janata Party	Puspendra Singh Deo	Biju Janata Dal	26814	Biju Janata Dal
Odisha	Kandhamal	Achyutananda Samanta	Biju Janata Dal	Mahameghabahan Aira Kharabela Swain	Bharatiya Janata Party	149216	Biju Janata Dal
Odisha	Kendrapara	Anubhav Mohanty	Biju Janata Dal	Baijayant Panda	Bharatiya Janata Party	152584	Biju Janata Dal
Odisha	Keonjhar	Chandrani Murmu	Biju Janata Dal	Ananta Nayak	Bharatiya Janata Party	66203	Biju Janata Dal
Odisha	Koraput	Saptagiri Sankar Ulaka	Indian National Congress	Kausalya Hikaka	Biju Janata Dal	3613	Biju Janata Dal
Odisha	Mayurbhanj	Bishweswar Tudu	Bharatiya Janata Party	Dr Debashis Marndi	Biju Janata Dal	25256	Biju Janata Dal
Odisha	Nabarangpur	Ramesh Chandra Majhi	Biju Janata Dal	Pradeep Kumar Majhi	Indian National Congress	41634	Biju Janata Dal
Odisha	Puri	Pinaki Misra	Biju Janata Dal	Dr Sambit Patra	Bharatiya Janata Party	11714	Biju Janata Dal
Odisha	Sambalpur	Nitesh Ganga Deb	Bharatiya Janata Party	Nalini Kanta Pradhan	Biju Janata Dal	9162	Biju Janata Dal
Odisha	Sundargarh	Jual Oram	Bharatiya Janata Party	Sunita Biswal	Biju Janata Dal	223065	Bharatiya Janata Party
Puducherry	Puducherry	Ve. Vaithilingam	Indian National Congress	Dr. Narayanasamy Kesavan	All India N.R. Congress	197025	All India N.R. Congress
Punjab	Amritsar	Gurjeet Singh Aujla	Indian National Congress	Hardeep Singh Puri	Bharatiya Janata Party	99626	Indian National Congress
Punjab	Anandpur Sahib	Manish Tewari	Indian National Congress	Professor Prem Singh Chandumajra	Shiromani Akali Dal	46884	Shiromani Akali Dal
Punjab	Bathinda	Harsimrat Kaur Badal	Shiromani Akali Dal	Amrinder Singh Raja Warring	Indian National Congress	21772	Shiromani Akali Dal
Punjab	Faridkot	Mohammad Sadique	Indian National Congress	Gulzar Singh Ranike	Shiromani Akali Dal	83256	Aam Aadmi Party
Punjab	Fatehgarh Sahib	Amar Singh	Indian National Congress	Darbara Singh Guru	Shiromani Akali Dal	93898	Aam Aadmi Party
Punjab	Firozpur	Sukhbir Singh Badal	Shiromani Akali Dal	Sher Singh Ghubaya	Indian National Congress	198850	Shiromani Akali Dal
Punjab	Gurdaspur	Sunny Deol	Bharatiya Janata Party	Sunil Jakhar	Indian National Congress	82459	Bharatiya Janata Party
Punjab	Hoshiarpur	Som Parkash	Bharatiya Janata Party	Dr. Raj Kumar Chabbewal	Indian National Congress	48530	Bharatiya Janata Party
Punjab	Jalandhar	Santokh Singh Chaudhary	Indian National Congress	Charanjit Singh Atwal	Shiromani Akali Dal	19491	Indian National Congress
Punjab	Khadoor Sahib	Jasbir Singh Gill (dimpa)	Indian National Congress	Bibi Jagir Kaur	Shiromani Akali Dal	140573	Shiromani Akali Dal
Punjab	Ludhiana	Ravneet Singh Bittu	Indian National Congress	Simarjeet Singh Bains	Lok Insaaf Party	76372	Indian National Congress
Punjab	Patiala	Preneet Kaur	Indian National Congress	Surjit Singh Rakhra	Shiromani Akali Dal	162718	Aam Aadmi Party
Punjab	Sangrur	Bhagwant Mann	Aam Aadmi Party	Kewal Singh Dhillon	Indian National Congress	110211	Aam Aadmi Party
Rajasthan	Ajmer	Bhagirath Chaudhary	Bharatiya Janata Party	Riju Jhunjhunwala	Indian National Congress	416424	Bharatiya Janata Party
Rajasthan	Alwar	Balak Nath	Bharatiya Janata Party	Bhanwar Jitendra Singh	Indian National Congress	329971	Bharatiya Janata Party
Rajasthan	Banswara	Kanakmal Katara	Bharatiya Janata Party	Tarachand Bhagora	Indian National Congress	305464	Bharatiya Janata Party
Rajasthan	Barmer	Kailash Choudhary	Bharatiya Janata Party	Manvendra Singh	Indian National Congress	323808	Bharatiya Janata Party
Rajasthan	Bharatpur	Ranjeeta Koli	Bharatiya Janata Party	Abhijeet Kumar Jatav	Indian National Congress	318399	Bharatiya Janata Party
Rajasthan	Bhilwara	Subhash Chandra Baheria	Bharatiya Janata Party	Ram Pal Sharma	Indian National Congress	612000	Bharatiya Janata Party
Rajasthan	Bikaner	Arjun Ram Meghwal	Bharatiya Janata Party	Madan Gopal Meghwal	Indian National Congress	264081	Bharatiya Janata Party
Rajasthan	Chittorgarh	Chandra Prakash Joshi	Bharatiya Janata Party	Gopal Singh Shekhawat	Indian National Congress	576247	Bharatiya Janata Party
Rajasthan	Churu	Rahul Kaswan	Bharatiya Janata Party	Rafique Mandelia	Indian National Congress	334402	Bharatiya Janata Party
Rajasthan	Dausa	Jaskaur Meena	Bharatiya Janata Party	Savita Meena	Indian National Congress	78444	Bharatiya Janata Party
Rajasthan	Ganganagar	Nihal Chand	Bharatiya Janata Party	Bharat Ram Meghwal	Indian National Congress	406978	Bharatiya Janata Party
Rajasthan	Jaipur	Ramcharan Bohra	Bharatiya Janata Party	Jyoti Khandelwal	Indian National Congress	430626	Bharatiya Janata Party
Rajasthan	Jaipur Rural	Col. Rajyavardhan Rathore	Bharatiya Janata Party	Krishna Poonia	Indian National Congress	393171	Bharatiya Janata Party
Rajasthan	Jalore	Devaji Patel	Bharatiya Janata Party	Ratan Devasi	Indian National Congress	261110	Bharatiya Janata Party
Rajasthan	Jhalawar-baran	Dushyant Singh	Bharatiya Janata Party	Pramod Sharma	Indian National Congress	453928	Bharatiya Janata Party
Rajasthan	Jhunjhunu	Narendra Kumar	Bharatiya Janata Party	Sharwan Kumar S/o Gokal Ram	Indian National Congress	302547	Bharatiya Janata Party
Rajasthan	Jodhpur	Gajendra Singh Shekhawat	Bharatiya Janata Party	Vaibhav Gehlot	Indian National Congress	274440	Bharatiya Janata Party
Rajasthan	Karauli-dholpur	Manoj Rajoria	Bharatiya Janata Party	Sanjay Kumar	Indian National Congress	97682	Bharatiya Janata Party
Rajasthan	Kota	Om Birla	Bharatiya Janata Party	Ramnarain Meena	Indian National Congress	279677	Bharatiya Janata Party
Rajasthan	Nagaur	Hanuman Beniwal	Rashtriya Loktantrik Party	Dr. Jyoti Mirdha	Indian National Congress	181260	Bharatiya Janata Party
Rajasthan	Pali	P. P. Chaudhary	Bharatiya Janata Party	Badriram Jakhar	Indian National Congress	481597	Bharatiya Janata Party
Rajasthan	Rajsamand	Diya Kumari	Bharatiya Janata Party	Devkinandan (kaka)	Indian National Congress	551916	Bharatiya Janata Party
Rajasthan	Sikar	Sumedhanand Saraswati	Bharatiya Janata Party	Subhash Maharia	Indian National Congress	297156	Bharatiya Janata Party
Rajasthan	Tonk-sawai Madhopur	Sukhbir Singh Jaunapuria	Bharatiya Janata Party	Namonarayan	Indian National Congress	111291	Bharatiya Janata Party
Rajasthan	Udaipur	Arjunlal Meena	Bharatiya Janata Party	Raghuvir Singh Meena	Indian National Congress	437914	Bharatiya Janata Party
Sikkim	Sikkim	Indra Hang Subba	Sikkim Krantikari Morcha	Dek Bahadur Katwal	Sikkim Democratic Front	12433	Sikkim Democratic Front
Tamil Nadu	Arakkonam	S. Jagathrakshakan	Dravida Munnetra Kazhagam	A.k. Moorthy	Pattali Makkal Katchi	328956	All India Anna Dravida Munnetra Kazhagam
Tamil Nadu	Arani	Vishnu Prasad M K	Indian National Congress	Elumalai V	All India Anna Dravida Munnetra Kazhagam	230806	All India Anna Dravida Munnetra Kazhagam
Tamil Nadu	Chennai Central	Dayanidhi Maran	Dravida Munnetra Kazhagam	Sam Paul. S.r.	Pattali Makkal Katchi	301520	All India Anna Dravida Munnetra Kazhagam
Tamil Nadu	Chennai North	Dr. Kalanidhi Veeraswamy	Dravida Munnetra Kazhagam	Alagaapuram R. Mohanraj	Desiya Murpokku Dravida Kazhagam	461518	All India Anna Dravida Munnetra Kazhagam
Tamil Nadu	Chennai South	T.sumathy (a) Thamizhachi Thangapandian	Dravida Munnetra Kazhagam	Dr.j.jayavardhan	All India Anna Dravida Munnetra Kazhagam	262223	All India Anna Dravida Munnetra Kazhagam
Tamil Nadu	Chidambaram	Thirumaavalavan Thol	Viduthalai Chiruthaigal Katchi	Chandrasekar P	All India Anna Dravida Munnetra Kazhagam	3219	All India Anna Dravida Munnetra Kazhagam
Tamil Nadu	Coimbatore	Natarajan. P.r	Communist Party of India  (Marxist)	Radhakrishnan. C.p	Bharatiya Janata Party	179143	All India Anna Dravida Munnetra Kazhagam
