StateName	ConstituencyName	LeadingCandidate	LeadingParty	TrailingCandidate	TrailingParty	Margin	LeadingParty2014
Assam	Nowgong	Pradyut Bordoloi	Indian National Congress	Sri Rupak Sharma	Bharatiya Janata Party	16752	Bharatiya Janata Party
Assam	Silchar	Rajdeep Roy	Bharatiya Janata Party	Sushmita Dev	Indian National Congress	81596	Indian National Congress
Assam	Tezpur	Pallab Lochan Das	Bharatiya Janata Party	M.g.v.k. Bhanu	Indian National Congress	242841	Bharatiya Janata Party
Bihar	Araria	Pradeep Kumar Singh	Bharatiya Janata Party	Sarfaraz Alam	Rashtriya Janata Dal	137241	Rashtriya Janata Dal
Bihar	Arrah	R. K. Singh	Bharatiya Janata Party	Raju Yadav	Communist Party of India  (Marxist-Leninist)  (Liberation)	147285	Bharatiya Janata Party
Bihar	Aurangabad	Sushil Kumar Singh	Bharatiya Janata Party	Upendra Prasad	Hindustani Awam Morcha (Secular)	72607	Bharatiya Janata Party
Bihar	Banka	Giridhari Yadav	Janata Dal  (United)	Jai Prakash Narayan Yadav	Rashtriya Janata Dal	200532	Rashtriya Janata Dal
Bihar	Begusarai	Giriraj Singh	Bharatiya Janata Party	Kanhaiya Kumar	Communist Party of India	422217	Bharatiya Janata Party
Bihar	Bhagalpur	Ajay Kumar Mandal	Janata Dal  (United)	Shailesh Kumar Alias Vulo Mandal	Rashtriya Janata Dal	277630	Rashtriya Janata Dal
Bihar	Buxar	Ashwini Kumar Choubey	Bharatiya Janata Party	Jagadanand Singh	Rashtriya Janata Dal	117609	Bharatiya Janata Party
Bihar	Darbhanga	Gopal Jee Thakur	Bharatiya Janata Party	Abdul Bari Siddiqui	Rashtriya Janata Dal	267979	Bharatiya Janata Party
Bihar	Gaya (sc)	Vijay Kumar	Janata Dal  (United)	Jitan Ram Manjhi	Hindustani Awam Morcha (Secular)	152426	Bharatiya Janata Party
Bihar	Gopalganj (sc)	Dr. Alok Kumar Suman	Janata Dal  (United)	Surendra Ram	Rashtriya Janata Dal	286434	Bharatiya Janata Party
Bihar	Hajipur (sc)	Pashu Pati Kumar Paras	Lok Jan Shakti Party	Shiv Chandra Ram	Rashtriya Janata Dal	205449	Lok Jan Shakti Party
Bihar	Jahanabad	Chandeshwar Prasad	Janata Dal  (United)	Surendra Prasad Yadav	Rashtriya Janata Dal	1751	Rashtriya Lok Samta Party
Bihar	Jamui (sc)	Chirag Kumar Paswan	Lok Jan Shakti Party	Bhudeo Choudhary	Rashtriya Lok Samta Party	241049	Lok Jan Shakti Party
Bihar	Jhanjharpur	Ramprit Mandal	Janata Dal  (United)	Gulab Yadav	Rashtriya Janata Dal	322951	Bharatiya Janata Party
Bihar	Karakat	Mahabali Singh	Janata Dal  (United)	Upendra Kushwaha	Rashtriya Lok Samta Party	84542	Rashtriya Lok Samta Party
Bihar	Katihar	Dulal Chandra Goswami	Janata Dal  (United)	Tariq Anwar	Indian National Congress	57203	Nationalist Congress Party
Bihar	Khagaria	Choudhary Mehboob Ali Kaiser	Lok Jan Shakti Party	Mukesh Sahani	Vikassheel Insaan Party	248570	Lok Jan Shakti Party
Bihar	Kishanganj	Dr. Mohammad Jawed	Indian National Congress	Syed Mahmood Ashraf	Janata Dal  (United)	34466	Indian National Congress
Bihar	Madhepura	Dinesh Chandra Yadav	Janata Dal  (United)	Sharad Yadav	Rashtriya Janata Dal	301527	Rashtriya Janata Dal
Bihar	Madhubani	Ashok Kumar Yadav	Bharatiya Janata Party	Badri Kumar Purbey	Vikassheel Insaan Party	454940	Bharatiya Janata Party
Bihar	Maharajganj	Janardan Singh 'sigriwal"	Bharatiya Janata Party	Randhir Kumar Singh	Rashtriya Janata Dal	230772	Bharatiya Janata Party
Bihar	Munger	Rajiv Ranjan Singh Alias Lalan Singh	Janata Dal  (United)	Nilam Devi	Indian National Congress	167937	Lok Jan Shakti Party
Bihar	Muzaffarpur	Ajay Nishad	Bharatiya Janata Party	Raj Bhushan Choudhary	Vikassheel Insaan Party	409988	Bharatiya Janata Party
Bihar	Nalanda	Kaushlendra Kumar	Janata Dal  (United)	Ashok Kumar Azad	Hindustani Awam Morcha (Secular)	256137	Janata Dal  (United)
Bihar	Nawada	Chandan Singh	Lok Jan Shakti Party	Vibha Devi	Rashtriya Janata Dal	148072	Bharatiya Janata Party
Bihar	Paschim Champaran	Dr. Sanjay Jaiswal	Bharatiya Janata Party	Brijesh Kumar Kushwaha	Rashtriya Lok Samta Party	293906	Bharatiya Janata Party
Bihar	Pataliputra	Ram Kripal Yadav	Bharatiya Janata Party	Misha Bharti	Rashtriya Janata Dal	39321	Bharatiya Janata Party
Bihar	Patna Sahib	Ravi Shankar Prasad	Bharatiya Janata Party	Shatrughan Sinha	Indian National Congress	284657	Bharatiya Janata Party
Bihar	Purnia	Santosh Kumar	Janata Dal  (United)	Uday Singh Alias Pappu Singh	Indian National Congress	263461	Janata Dal  (United)
Bihar	Purvi Champaran	Radha Mohan Singh	Bharatiya Janata Party	Aakash Kumar Singh	Rashtriya Lok Samta Party	293648	Bharatiya Janata Party
Bihar	Samastipur (sc)	Ramchandra Paswan	Lok Jan Shakti Party	Dr. Ashok Kumar	Indian National Congress	251643	Lok Jan Shakti Party
Bihar	Saran	Rajiv Pratap Rudy	Bharatiya Janata Party	Chandrika Roy	Rashtriya Janata Dal	138429	Bharatiya Janata Party
Bihar	Sasaram (sc)	Chhedi Paswan	Bharatiya Janata Party	Meira Kumar	Indian National Congress	165745	Bharatiya Janata Party
Bihar	Sheohar	Rama Devi	Bharatiya Janata Party	Syed Faisal Ali	Rashtriya Janata Dal	340360	Bharatiya Janata Party
Bihar	Sitamarhi	Sunil Kumar Pintu	Janata Dal  (United)	Arjun Ray	Rashtriya Janata Dal	250539	Rashtriya Lok Samta Party
Bihar	Siwan	Kavita Singh	Janata Dal  (United)	Hena Shahab	Rashtriya Janata Dal	116958	Bharatiya Janata Party
Bihar	Supaul	Dileshwar Kamait	Janata Dal  (United)	Ranjeet Ranjan	Indian National Congress	266853	Indian National Congress
Bihar	Ujiarpur	Nityanand Rai	Bharatiya Janata Party	Upendra Kushwaha	Rashtriya Lok Samta Party	277278	Bharatiya Janata Party
Bihar	Vaishali	Veena Devi (w/o Dinesh Prasad Singh)	Lok Jan Shakti Party	Raghuvansh Prasad Singh	Rashtriya Janata Dal	234584	Lok Jan Shakti Party
